_id,type,merchant_id,payer_id,purchase_date,amount,status,medium,description,created_at,merchant_name,category
bce01a6ae8b8c6227cd4f1de751c017c,merchant,,account_123,2024-01-01,89.35,completed,balance,Amazon Fresh,2025-10-25T18:50:18.14712,Amazon Fresh,grocery_net
26e9b361f78724f145faedaaad9da0c3,merchant,,account_123,2024-01-01,177.82,completed,balance,24 Hour Fitness,2025-10-25T18:50:18.14712,24 Hour Fitness,health_fitness
9c7f4171fce7111db34eb60f56d74b9b,merchant,,account_123,2024-01-01,3.89,completed,balance,Nike.com,2025-10-25T18:50:18.14712,Nike.com,shopping_net
1f58f90aa5eb9c06f066da77aaea5821,merchant,,account_123,2024-01-01,53.32,completed,balance,Peloton,2025-10-25T18:50:18.14712,Peloton,health_fitness
b380b0a10b77b658ed90c3bdc51278f9,merchant,,account_123,2024-01-01,1.03,completed,balance,Apple Store,2025-10-25T18:50:18.14712,Apple Store,shopping_pos
bee1f566f76e67dc69b386bbb702067f,merchant,,account_123,2024-01-02,40.87,completed,balance,Chevron,2025-10-25T18:50:18.14712,Chevron,gas_transport
f5c4fe8476b4092d3e9725d063ce1b62,merchant,,account_123,2024-01-02,5.03,completed,balance,PetSmart,2025-10-25T18:50:18.14712,PetSmart,kids_pets
2052cfc507e2ddebb3743e165fca0137,merchant,,account_123,2024-01-03,36.45,completed,balance,Circle K,2025-10-25T18:50:18.14712,Circle K,gas_transport
bc262b605b3fe2f3910bffd632386e14,merchant,,account_123,2024-01-03,4.42,completed,balance,Shein,2025-10-25T18:50:18.14712,Shein,shopping_net
22fecef3ca5384e03fe044c2af8424ac,merchant,,account_123,2024-01-03,94.62,completed,balance,LEGO Store,2025-10-25T18:50:18.14712,LEGO Store,kids_pets
f37c949bbdc8addd1e2e4fb30ab8f8c0,merchant,,account_123,2024-01-05,8.55,completed,balance,Amazon,2025-10-25T18:50:18.14712,Amazon,misc_net
effd2a3df1567c420686d95fbeb37d13,merchant,,account_123,2024-01-06,90.35,completed,balance,ExxonMobil,2025-10-25T18:50:18.14712,ExxonMobil,gas_transport
04073ba960e77dd2bf225199c14381ed,merchant,,account_123,2024-01-06,54.21,completed,balance,Shell,2025-10-25T18:50:18.14712,Shell,gas_transport
a78a2552248857e47d7a6218d3905b51,merchant,,account_123,2024-01-06,107.54,completed,balance,Amazon,2025-10-25T18:50:18.14712,Amazon,misc_net
01debf86f68e7fb4d2e34edde33285b1,merchant,,account_123,2024-01-06,63.4,completed,balance,ExxonMobil,2025-10-25T18:50:18.14712,ExxonMobil,gas_transport
eff550dc0007ccd24aea0b5d9cd0cb2f,merchant,,account_123,2024-01-06,116.0,completed,balance,Target,2025-10-25T18:50:18.14712,Target,grocery_pos
2cc128ede159ce4ca19b9e9b734b0442,merchant,,account_123,2024-01-06,108.04,completed,balance,Sam's Club,2025-10-25T18:50:18.14712,Sam's Club,grocery_pos
c695cc639989033f96c916bd9c607596,merchant,,account_123,2024-01-06,4.37,completed,balance,IKEA,2025-10-25T18:50:18.14712,IKEA,home
77c19a6515fcfa02ff2942e173fd41b7,merchant,,account_123,2024-01-07,55.71,completed,balance,Shell,2025-10-25T18:50:18.14712,Shell,gas_transport
dde9735fa217ec217ca08738d2c99053,merchant,,account_123,2024-01-07,88.52,completed,balance,HEB,2025-10-25T18:50:18.14712,HEB,grocery_pos
f8bc3ea859d4978ed54eeddc930c5eaa,merchant,,account_123,2024-01-07,126.74,completed,balance,Walmart,2025-10-25T18:50:18.14712,Walmart,grocery_pos
d3fca43288302a53c7956a54075300cf,merchant,,account_123,2024-01-08,34.5,completed,balance,BP,2025-10-25T18:50:18.14712,BP,gas_transport
98794be8b81b8ddb6418d30da6e6057a,merchant,,account_123,2024-01-08,101.49,completed,balance,HEB,2025-10-25T18:50:18.14712,HEB,grocery_pos
70eb50dbd7380658317ee1ea985f18cf,merchant,,account_123,2024-01-08,324.23,completed,balance,Amazon,2025-10-25T18:50:18.14712,Amazon,misc_net
3b1cb3fa39872d66d11091a186fe9fe3,merchant,,account_123,2024-01-08,8.56,completed,balance,Temu,2025-10-25T18:50:18.14712,Temu,shopping_net
ee0b86ed2f198ccf8a6e1434104d05e9,merchant,,account_123,2024-01-08,5.32,completed,balance,Ebay,2025-10-25T18:50:18.14712,Ebay,shopping_net
2c6b021cdba9683c21f33af043920170,merchant,,account_123,2024-01-08,23.37,completed,balance,24 Hour Fitness,2025-10-25T18:50:18.14712,24 Hour Fitness,health_fitness
